BANCA COMERCIAL Y UNIVERSAL	  Indice de Solvencia Patrimonial ()	Morosidad Crediticia	Cobertura Cartera Demorada	Intermediación Crediticia	Gastos Transf./Activo Productivo Prom.	Gastos Transf./Ingresos Financieros	ROA	ROE	Liquidez Inmediata	Liquidez Excedentaria

BANESCO	10.1800	-0.4200	678.8000	49.1500	-4.8100	-26.6600	4.2900	56.5800	34.6000	6.7443
BBVA PROVINCIAL	11.0000	-0.3000	1072.3700	62.1900	-4.8800	-24.0700	4.3600	49.8300	30.5600	7.2165
MERCANTIL 	9.4400	-0.2100	1569.3200	62.6300	-5.1700	-27.7500	3.6500	46.2000	29.8000	3.8530
OCC. DE DCTO. 	9.0300	-1.0100	225.7700	58.7800	-6.5500	-36.7000	2.8900	46.8300	27.1100	-1.4246
EXTERIOR 	10.1000	-0.3200	757.7800	62.0600	-4.5300	-24.5500	3.7200	51.8900	28.9200	-0.6410
BANCARIBE 	9.8600	-0.5900	402.5100	59.6600	-4.9700	-25.2800	3.8300	58.5200	26.4300	0.6958
NAC. DE CRÉDITO 	9.4000	-0.0200	9965.5600	58.4500	-6.6700	-36.2100	2.1600	29.0300	30.8500	1.2870
BFCFONDO COMÚN 	10.4400	-0.1600	1334.9300	45.1500	-6.4300	-34.3000	3.9300	59.0600	33.9600	3.6484
VNZ. DE CRÉDITO 	7.6300	-0.1800	1032.1000	64.4600	-8.7900	-44.3600	6.0300	81.4500	36.0000	5.5918
CARONÍ	10.8900	-0.6100	490.7300	40.4100	-8.7300	-50.6700	3.4100	39.6400	30.3300	6.9752
SOFITASA 	8.5500	-0.5100	581.4600	48.5700	-8.1900	-42.6600	2.9900	52.7200	31.2900	-0.7883
DEL SUR 	14.7000	-0.1900	1225.9500	47.8700	-6.2200	-37.4000	2.2700	28.2600	26.0700	-3.6924
PLAZA 	9.2900	-0.2900	721.4200	54.4300	-5.9700	-35.1300	3.4000	52.5000	29.3300	-2.5416
BANPLUS 	9.5500	-0.1600	1584.4900	39.6400	-10.6600	-59.5900	3.8000	62.6300	32.5500	2.0174
ACTIVO 	12.1600	-0.4900	590.7000	45.8700	-9.8800	-54.2600	6.6000	110.1900	29.8200	-2.2067
100BANCO 	10.0900	-0.1300	1727.5200	57.1000	-9.8700	-64.6700	4.0400	53.6000	27.0800	-0.7716
CITIBANK 	14.5800	-1.0800	483.0800	68.2900	-8.1400	-61.4600	4.1100	39.9800	29.8600	17.2029
BANCRECER	9.5200	-0.6100	516.8900	55.2500	-7.3500	-41.0800	3.6600	62.4100	21.0500	-9.8215
BANGENTE	8.1000	-0.2600	1134.4000	88.7100	-16.2600	-71.5400	3.7900	45.3800	13.9600	-11.2132
MI BANCO	12.2200	-0.5100	764.3800	41.7100	-14.7500	-81.0000	1.4900	21.9400	32.0200	-3.9811
BANCAMIGA	19.7800	-0.7300	435.2700	48.8300	-12.4600	-118.2200	2.6500	34.2800	30.6700	13.3026
